stop_id,stop_name,lat,lon,sequences
1,Alness St at Dolomite Dr,43.779379,-79.475402,107:22
3,Alness St at Flint Rd,43.781744,-79.477584,107:23
8,Atkinson Ave at Rodeo Dr,43.808739,-79.442506,160:48
10,Atkinson Rd at Spring Gate Blvd South Side,43.806428,-79.44158,160:49
11,Anglesey Blvd at Islington Ave,43.664493,-79.531543,48:13
13,Anglesey Blvd at The Kingsway,43.6642,-79.521751,48:10
15,Anglesey Blvd at Pinehurst Cres North Side,43.663562,-79.524999,48:11
16,Anglesey Blvd at Royal York Rd West Side,43.665864,-79.52024,48:9
19,Anglesey Blvd at Wimbleton Rd,43.66478,-79.528983,48:12
21,Annette St at Clendenan Ave,43.662086,-79.472496,26:10
23,Annette St at Dundas St West,43.664325,-79.458835,26:15
24,Annette St at Durie St,43.65934,-79.482958,26:6
26,Annette St at Evelyn Ave East Side,43.661127,-79.474788,26:9
28,Annette St at Gilmour Ave,43.660479,-79.477746,26:8
30,Annette St at High Park Ave,43.662799,-79.46939,26:11
32,Annette St at Indian Road Cres,43.663678,-79.46129,26:14
34,Annette St at Jane St East Side,43.658296,-79.487694,26:4
37,Annette St at Keele St,43.663604,-79.463979,26:13
39,Annette St at Medland St,43.663412,-79.466527,26:12
40,Annette St at Runnymede Rd,43.659969,-79.480162,26:7
42,Annette St at Willard Ave,43.658765,-79.485561,26:5
45,Avenue Rd at Balmoral Ave North Side,43.684707,-79.400532,13:14
47,Avenue Rd at Bloor St West North Side,43.669222,-79.394239,13:8
50,Avenue Rd at Boswell Ave,43.67262,-79.395613,13:9
53,Avenue Rd at Brooke Ave,43.733318,-79.419645,61:5
54,Avenue Rd at Carmichael Ave,43.73762,-79.420776,61:3
56,Avenue Rd at Cottingham St,43.679417,-79.39837,13:12
58,Avenue Rd at Davenport Rd,43.674613,-79.396402,13:10
60,Avenue Rd at Dunblaine Ave,43.736019,-79.420228,61:4
61,Avenue Rd at Dupont St,43.677107,-79.397418,13:11
63,Avenue Rd at Edmund Ave North Side,43.682897,-79.399784,13:13
65,Avenue Rd at Heath St West,43.688623,-79.402152,13:16
70,Avenue Rd at St Clair Ave West North Side,43.686954,-79.401452,13:15
72,Avenue Rd at Wilson Ave South Side,43.739264,-79.421518,61:2
75,Baldoon Rd at Finch Ave East,43.815102,-79.232194,339:4
80,Bathurst St at Alcina Ave,43.680169,-79.417216,307:53
81,Bathurst St at Allingham Gardens South Side,43.739895,-79.434758,307:28
85,4979 Bathurst St,43.775615,-79.443268,160:20|7:47
86,6030 Bathurst St,43.787654,-79.446634,307:7
87,Bathurst St at Ava Rd,43.697848,-79.424179,7:13
89,Bathurst St at Raoul Wallenberg Rd,43.750654,-79.437155,160:10|7:37
90,Bathurst St at Bainbridge Ave,43.75091,-79.437474,307:22
91,Bathurst St at Bannockburn Ave,43.731194,-79.43241,7:29
92,Bathurst St at Barton Ave,43.668015,-79.412233,7:2
94,Bathurst St at Baycrest Ave,43.729521,-79.432022,7:28
95,Bathurst St at Baycrest Ave,43.729709,-79.43227,307:32|400:14
98,Bathurst St at Briar Hill Ave,43.707753,-79.426888,14:13|7:17
99,Bathurst St at Briar Hill Ave,43.708018,-79.427207,307:43
100,Bathurst St at Fort York Blvd,43.638947,-79.400771,307:69
101,Bathurst St at Burton Rd,43.691765,-79.421687,7:11
102,Bathurst St at Caribou Rd,43.71753,-79.429253,7:22
104,Bathurst St at Carscadden Dr,43.765547,-79.441098,307:17
105,Bathurst St at Cedarcroft Blvd South Side,43.783511,-79.445589,307:9
106,Bathurst St at Chabad Gate,43.799281,-79.447256,160:31
107,Bathurst St at Claxton Blvd South Side,43.686625,-79.419824,307:50
108,Bathurst St at Codsell Ave,43.758401,-79.43901,160:13|7:40
109,Bathurst St at Codsell Ave,43.758716,-79.439386,307:19
111,Bathurst St at College St,43.656632,-79.407861,307:62
112,Bathurst St at Covington Rd,43.721136,-79.430335,307:36|400:21
116,Bathurst St at Danby Ave,43.749183,-79.437058,307:23
117,Bathurst St at Davenport Rd,43.676508,-79.415591,7:6
118,Atkinson Ave at Clark Ave West,43.805029,-79.440924,160:50
119,Bathurst St at Dell Park Ave South Side,43.717295,-79.429418,307:38
122,Bathurst St at Dewlane Dr,43.78586,-79.445832,160:24|7:51
123,Bathurst St at Antibes Dr,43.781233,-79.445042,307:10
124,Bathurst St at Douglas Ave,43.720714,-79.429983,7:24
125,Bathurst St at Drewry Ave,43.780932,-79.444599,160:22|7:49
127,Bathurst St at Dundas St West - Toronto Western Hospital,43.652475,-79.406185,307:64
128,Bathurst St at Dupont St,43.67305,-79.41422,7:4
129,Bathurst St at Dupont St,43.673241,-79.414496,307:56
130,Bathurst St at Eglinton Ave West North Side,43.701447,-79.425469,33:1|7:14
131,Bathurst St at Eglinton Ave West,43.70111,-79.425693,307:46
132,Bathurst St at Elderwood Dr,43.695157,-79.423089,7:12
133,Bathurst St at Ellerslie Ave North Side,43.765906,-79.440833,160:15|7:42
134,Bathurst St at Elm Ridge Dr,43.705395,-79.426541,307:44
135,Bathurst St at Fairlawn Ave,43.724694,-79.430905,7:26
136,Bathurst St at Finch Ave West,43.773623,-79.44272,160:19|7:46
137,Bathurst St at Finch Ave West South Side,43.773391,-79.443056,307:13
138,Bathurst St at Fisherville Rd,43.790264,-79.445803,307:6
143,Bathurst St at Glencairn Ave,43.71225,-79.427979,7:19
144,Bathurst St at Glencairn Ave,43.712484,-79.428276,307:41
145,Bathurst St at Glengrove Ave,43.714109,-79.428447,7:20
146,Bathurst St at Glengrove Ave,43.714354,-79.428702,307:40
147,Bathurst St at Greenwin Village Rd,43.790692,-79.445237,160:26
149,Bathurst St at Harbord St,43.661614,-79.409887,307:60
153,Bathurst St at Bridgman Ave,43.674989,-79.414992,7:5
154,1138 Bathurst St,43.675365,-79.415346,307:55
155,Bathurst St at Horsham Ave,43.768449,-79.441504,160:16|7:43
156,Bathurst St at Blue Flag Gate,43.768648,-79.441865,307:16
157,Bathurst St at Invermay Ave,43.741617,-79.435168,307:27
158,Bathurst St at Joicey Blvd,43.733827,-79.433052,7:30
163,Bathurst St at Laurelcrest Ave,43.74451,-79.435903,307:25
164,Bathurst St at Lawrence Ave West South Side,43.718829,-79.429826,307:37
165,Bathurst St at Lawrence Ave West,43.719105,-79.42961,7:23
168,Bathurst St at Lonsdale Rd,43.68686,-79.419702,7:10
170,Bathurst St at Lyonsgate Dr,43.742895,-79.435483,307:26
