ROUTE,INCIDENT,VISIBILITY,Clear,Fog,Rain,Thunderstorms,LOCAL_TIME_HOUR,LOCAL_TIME_MINUTE,WEEK_DAY,LOCAL_MONTH,LOCAL_DAY,WIND_DIRECTION,PRECIP_AMOUNT_BINARY,TEMP,DEW_POINT_TEMP,HUMIDEX,RELATIVE_HUMIDITY,STATION_PRESSURE,WIND_SPEED,DELAY_LOG1P
94.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,5.0,1.0,30.0,0.0,7.5,4.1,6.496023812825783,79.0,98.66,21.0,0.0
22.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,19.0,0.0,5.0,1.0,30.0,0.0,7.5,4.1,6.496023812825783,79.0,98.66,21.0,2.3978952727983707
32.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,46.0,0.0,5.0,1.0,26.0,0.0,7.1,4.1,6.096023812825782,81.0,98.66,8.0,3.828641396489095
198.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,25.0,0.0,5.0,1.0,30.0,0.0,6.2,3.5,5.007178290603314,83.0,98.66,9.0,2.3978952727983707
106.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,28.0,0.0,5.0,1.0,30.0,0.0,6.2,3.5,5.007178290603314,83.0,98.66,9.0,2.3978952727983707
60.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,32.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,2.3025850929940455
206.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,40.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,2.5649493574615367
52.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,40.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,2.197224577336219
33.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,41.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,2.4849066497880004
52.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,43.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,0.0
25.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,44.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,2.3978952727983707
98.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,55.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,2.5649493574615367
28.0,3.0,4.0,1.0,0.0,0.0,0.0,6.0,17.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,2.3978952727983707
19.0,3.0,4.0,1.0,0.0,0.0,0.0,6.0,19.0,0.0,5.0,1.0,22.0,0.0,5.9,4.5,4.925964827002504,91.0,98.66,21.0,2.0794415416798357
33.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,34.0,0.0,5.0,1.0,23.0,0.0,5.9,4.6,5.058965968880826,91.0,98.66,17.0,2.4849066497880004
29.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,42.0,0.0,5.0,1.0,23.0,0.0,5.9,4.6,5.058965968880826,91.0,98.66,17.0,1.791759469228055
19.0,3.0,4.0,1.0,0.0,0.0,0.0,6.0,49.0,0.0,5.0,1.0,23.0,0.0,5.9,4.6,5.058965968880826,91.0,98.66,17.0,2.0794415416798357
76.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,54.0,0.0,5.0,1.0,23.0,0.0,5.9,4.6,5.058965968880826,91.0,98.66,17.0,3.044522437723423
103.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,55.0,0.0,5.0,1.0,23.0,0.0,5.9,4.6,5.058965968880826,91.0,98.66,17.0,2.995732273553991
40.0,4.0,4.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,5.0,1.0,23.0,0.0,5.9,4.6,5.058965968880826,91.0,98.66,17.0,2.995732273553991
25.0,4.0,4.0,1.0,0.0,0.0,0.0,7.0,11.0,0.0,5.0,1.0,23.0,0.0,5.9,4.6,5.058965968880826,91.0,98.66,17.0,2.3978952727983707
124.0,3.0,4.0,1.0,0.0,0.0,0.0,7.0,22.0,0.0,5.0,1.0,23.0,0.0,5.9,4.6,5.058965968880826,91.0,98.66,17.0,3.044522437723423
