ROUTE,INCIDENT,VISIBILITY,Clear,Fog,Rain,Snow,Thunderstorms,LOCAL_TIME_HOUR,LOCAL_TIME_MINUTE,WEEK_DAY,LOCAL_MONTH,LOCAL_DAY,WIND_DIRECTION,PRECIP_AMOUNT_BINARY,TEMP,DEW_POINT_TEMP,HUMIDEX,RELATIVE_HUMIDITY,STATION_PRESSURE,WIND_SPEED,DELAY_LOG1P
84.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,30.0,6.0,1.0,1.0,28.0,0.0,3.7,1.7,1.982109270289648,87.0,100.27,17.0,4.406719247264253
62.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,34.0,6.0,1.0,1.0,24.0,0.0,3.5,1.5,1.727424735797377,87.0,100.37,17.0,3.1354942159291497
28.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,1.0,1.0,24.0,0.0,3.5,1.5,1.727424735797377,87.0,100.37,17.0,3.4339872044851463
185.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,14.0,6.0,1.0,1.0,24.0,0.0,3.5,1.5,1.727424735797377,87.0,100.37,17.0,2.8903717578961645
78.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,43.0,6.0,1.0,1.0,29.0,0.0,4.4,1.1,2.5201517362613863,79.0,100.37,21.0,0.6931471805599453
33.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,47.0,6.0,1.0,1.0,29.0,0.0,4.4,1.1,2.5201517362613863,79.0,100.37,21.0,0.0
156.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,52.0,6.0,1.0,1.0,29.0,0.0,4.4,1.1,2.5201517362613863,79.0,100.37,21.0,4.9344739331306915
45.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,25.0,6.0,1.0,1.0,29.0,0.0,4.4,1.1,2.5201517362613863,79.0,100.37,21.0,3.4339872044851463
18.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,35.0,6.0,1.0,1.0,27.0,0.0,4.2,0.9,2.267547477716062,79.0,100.39,11.0,3.044522437723423
29.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,18.0,6.0,1.0,1.0,27.0,0.0,4.2,0.9,2.267547477716062,79.0,100.39,11.0,5.814130531825066
29.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,50.0,6.0,1.0,1.0,25.0,0.0,3.2,1.6,1.4546788372161756,89.0,100.49,15.0,2.4849066497880004
140.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,1.0,1.0,25.0,0.0,3.2,1.6,1.4546788372161756,89.0,100.49,15.0,4.9344739331306915
148.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,1.0,1.0,25.0,0.0,3.2,1.6,1.4546788372161756,89.0,100.49,15.0,1.9459101490553132
204.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,25.0,6.0,1.0,1.0,25.0,0.0,3.2,1.6,1.4546788372161756,89.0,100.49,15.0,2.4849066497880004
144.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,24.0,6.0,1.0,1.0,27.0,0.0,4.2,-0.4,1.9417995523068876,72.0,100.56,32.0,1.9459101490553132
45.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,28.0,6.0,1.0,1.0,27.0,0.0,4.2,-0.4,1.9417995523068876,72.0,100.56,32.0,3.295836866004329
89.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,43.0,6.0,1.0,1.0,29.0,0.0,3.8,-0.5,1.51786858994812,74.0,100.54,18.0,3.332204510175204
28.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,53.0,6.0,1.0,1.0,29.0,0.0,3.8,-0.5,1.51786858994812,74.0,100.54,18.0,2.3978952727983707
66.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,55.0,6.0,1.0,1.0,29.0,0.0,3.8,-0.5,1.51786858994812,74.0,100.54,18.0,2.3978952727983707
95.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,57.0,6.0,1.0,1.0,29.0,0.0,3.8,-0.5,1.51786858994812,74.0,100.54,18.0,3.044522437723423
148.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,6.0,1.0,1.0,29.0,0.0,3.8,-0.5,1.51786858994812,74.0,100.54,18.0,0.0
83.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,6.0,1.0,1.0,29.0,0.0,3.8,-0.5,1.51786858994812,74.0,100.54,18.0,2.772588722239781
