Route,RouteName,Color,TextColor
7,BATHURST,#da251d,#ffffff
8,BROADVIEW,#da251d,#ffffff
9,BELLAMY,#da251d,#ffffff
10,VAN HORNE,#ffffff,#da251d
11,BAYVIEW,#da251d,#ffffff
12,KINGSTON RD,#da251d,#ffffff
13,AVENUE RD,#da251d,#ffffff
14,GLENCAIRN,#da251d,#ffffff
15,EVANS,#da251d,#ffffff
16,MCCOWAN,#da251d,#ffffff
17,BIRCHMOUNT,#da251d,#ffffff
19,BAY,#da251d,#ffffff
20,CLIFFSIDE,#da251d,#ffffff
21,BRIMLEY,#da251d,#ffffff
22,COXWELL,#da251d,#ffffff
23,DAWES,#da251d,#ffffff
24,VICTORIA PARK,#da251d,#ffffff
25,DON MILLS,#da251d,#ffffff
26,DUPONT,#da251d,#ffffff
28,BAYVIEW SOUTH,#da251d,#ffffff
29,DUFFERIN,#da251d,#ffffff
30,HIGH PARK NORTH,#da251d,#ffffff
31,GREENWOOD,#da251d,#ffffff
32,EGLINTON WEST,#da251d,#ffffff
33,FOREST HILL,#da251d,#ffffff
34,EGLINTON EAST,#da251d,#ffffff
35,JANE,#da251d,#ffffff
36,FINCH WEST,#da251d,#ffffff
37,ISLINGTON,#da251d,#ffffff
38,HIGHLAND CREEK,#da251d,#ffffff
39,FINCH EAST,#da251d,#ffffff
40,JUNCTION-DUNDAS WEST,#da251d,#ffffff
41,KEELE,#da251d,#ffffff
42,CUMMER,#da251d,#ffffff
43,KENNEDY,#da251d,#ffffff
44,KIPLING SOUTH,#da251d,#ffffff
45,KIPLING,#da251d,#ffffff
46,MARTIN GROVE,#da251d,#ffffff
47,LANSDOWNE,#da251d,#ffffff
48,RATHBURN,#da251d,#ffffff
49,BLOOR WEST,#da251d,#ffffff
50,BURNHAMTHORPE,#da251d,#ffffff
51,LESLIE,#da251d,#ffffff
52,LAWRENCE WEST,#da251d,#ffffff
53,STEELES EAST,#da251d,#ffffff
54,LAWRENCE EAST,#da251d,#ffffff
55,WARREN PARK,#da251d,#ffffff
56,LEASIDE,#da251d,#ffffff
57,MIDLAND,#da251d,#ffffff
59,MAPLE LEAF,#da251d,#ffffff
60,STEELES WEST,#da251d,#ffffff
61,AVENUE RD NORTH,#da251d,#ffffff
62,MORTIMER,#da251d,#ffffff
63,OSSINGTON,#da251d,#ffffff
64,MAIN,#da251d,#ffffff
65,PARLIAMENT,#da251d,#ffffff
66,PRINCE EDWARD,#da251d,#ffffff
67,PHARMACY,#da251d,#ffffff
68,WARDEN,#da251d,#ffffff
69,WARDEN SOUTH,#da251d,#ffffff
70,O'CONNOR,#da251d,#ffffff
71,RUNNYMEDE,#da251d,#ffffff
72,PAPE,#da251d,#ffffff
73,ROYAL YORK,#da251d,#ffffff
74,MOUNT PLEASANT,#da251d,#ffffff
75,SHERBOURNE,#da251d,#ffffff
76,ROYAL YORK SOUTH,#da251d,#ffffff
77,SWANSEA,#da251d,#ffffff
78,ST ANDREWS,#da251d,#ffffff
79,SCARLETT RD,#da251d,#ffffff
80,QUEENSWAY,#da251d,#ffffff
82,ROSEDALE,#da251d,#ffffff
83,JONES,#da251d,#ffffff
84,SHEPPARD WEST,#da251d,#ffffff
85,SHEPPARD EAST,#da251d,#ffffff
86,SCARBOROUGH,#da251d,#ffffff
87,COSBURN,#da251d,#ffffff
88,SOUTH LEASIDE,#da251d,#ffffff
89,WESTON,#da251d,#ffffff
90,VAUGHAN,#da251d,#ffffff
91,WOODBINE,#da251d,#ffffff
92,WOODBINE SOUTH,#da251d,#ffffff
93,PARKVIEW HILLS,#da251d,#ffffff
94,WELLESLEY,#da251d,#ffffff
95,YORK MILLS,#da251d,#ffffff
96,WILSON,#da251d,#ffffff
97,YONGE,#da251d,#ffffff
98,WILLOWDALE-SENLAC,#da251d,#ffffff
99,ARROW RD,#ffffff,#da251d
100,FLEMINGDON PARK,#da251d,#ffffff
101,DOWNSVIEW PARK,#ffffff,#da251d
102,MARKHAM RD,#da251d,#ffffff
103,MOUNT PLEASANT NORTH,#da251d,#ffffff
104,FAYWOOD,#da251d,#ffffff
105,DUFFERIN NORTH,#da251d,#ffffff
106,SENTINEL,#da251d,#ffffff
107,YORK UNIVERSITY HEIGHTS,#da251d,#ffffff
108,DRIFTWOOD,#da251d,#ffffff
109,RANEE,#da251d,#ffffff
110,ISLINGTON SOUTH,#da251d,#ffffff
111,EAST MALL,#da251d,#ffffff
