x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,UTC_DATE,UTC_YEAR,UTC_MONTH,UTC_DAY,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WEATHER_ENG_DESC,WEATHER_FRE_DESC,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.14,2022-07-07 14:00:00,ON,2022,7,7,14,2022-07-07T19:00:00,2022,7,7,23.4,,14.7,,27,,0,,58,,100.7,,16.1,,NA,ND,,,11,,15,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.15,2022-07-07 15:00:00,ON,2022,7,7,15,2022-07-07T20:00:00,2022,7,7,23.4,,,M,,,0,,,M,100.66,,16.1,,NA,ND,,,13,,8,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.16,2022-07-07 16:00:00,ON,2022,7,7,16,2022-07-07T21:00:00,2022,7,7,,M,,M,,,0,,,M,,M,16.1,,NA,ND,,,13,,9,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.17,2022-07-07 17:00:00,ON,2022,7,7,17,2022-07-07T22:00:00,2022,7,7,,M,,M,,,0,,,M,,M,16.1,,NA,ND,,,13,,15,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.18,2022-07-07 18:00:00,ON,2022,7,7,18,2022-07-07T23:00:00,2022,7,7,,M,,M,,,0,,,M,,M,16.1,,NA,ND,,,9,,9,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.19,2022-07-07 19:00:00,ON,2022,7,7,19,2022-07-08T00:00:00,2022,7,8,,M,,M,,,0,,,M,,M,16.1,,NA,ND,,,7,,5,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.20,2022-07-07 20:00:00,ON,2022,7,7,20,2022-07-08T01:00:00,2022,7,8,,M,,M,,,0,,,M,,M,16.1,,NA,ND,,,0,,0,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.21,2022-07-07 21:00:00,ON,2022,7,7,21,2022-07-08T02:00:00,2022,7,8,,M,,M,,,0,,,M,,M,16.1,,NA,ND,,,32,,9,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.22,2022-07-07 22:00:00,ON,2022,7,7,22,2022-07-08T03:00:00,2022,7,8,,M,,M,,,0,,,M,,M,16.1,,NA,ND,,,36,,13,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2022.7.7.23,2022-07-07 23:00:00,ON,2022,7,7,23,2022-07-08T04:00:00,2022,7,8,,M,,M,,,0,,,M,,M,16.1,,NA,ND,,,,M,5,
